,hoi,end,Interviewer Name,Part 1 – Outlet Information,S1. City/Division,S2. Name of Outlet,S3. Outlet Address,S4. Land Mark,S5. Outlet Type,Part 2 – Main Questionnaire,Q1. Is Promo running in outlet?,Q1a. Why is Promo not running in Outlet?,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today.,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week.",Q1a. Why is Promo not running in Outlet?/BA was not available,Q1a. Why is Promo not running in Outlet?/Others,Others specify,Q1a. Why is Promo not running in Outlet?.1,Q1a. Why is Promo not running in Outlet?/Not Aware of Promo.1,Q1a. Why is Promo not running in Outlet?/I didn’t buy the Guinness FES/Smooth this week.1,Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks but was not up to the required cases to run a promo.1,"Q1a. Why is Promo not running in Outlet?/I bought Guinness drinks, but my stock has not been delivered.1","Q1a. Why is Promo not running in Outlet?/I bought the required cases of Guinness drinks this week, but I didn’t get the free airtime to give out.1",Q1a. Why is Promo not running in Outlet?/The promo has already happened in this outlet earlier today..1,"Q1a. Why is Promo not running in Outlet?/I have the free airtime, but promo will happen later this week..1",Q1a. Why is Promo not running in Outlet?/Others.1,Others specify.1,Q2_1. What time did the Promo kick off in the outlet?,Q2_2. Are Consumers winning Prizes,Q2a. Are Consumers redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?,Q2b. Why are Consumers not redeeming their Prizes?/Was told prizes are not available,Q2b. Why are Consumers not redeeming their Prizes?/Not aware they will win prizes,"Q2b. Why are Consumers not redeeming their Prizes?/Don’t Know, just didn’t get the prize",Q3. What are the consumer rewards offered at the outlet,Q4. Are Promo poster Available in the outlet?,Q4a. Are Posters placed in a reasonably visible (strategically placed) location?,Q4b. Please confirm if posters are in good condition,Q4b. Please confirm if posters are in good condition/Poster is in good condition,Q4b. Please confirm if posters are in good condition/Part of Poster is torn off,"Q4b. Please confirm if posters are in good condition/Poster not properly glued/pined to the wall, board etc.",Q5. Are Brand Promoters present in the outlet?,Q5a. Are Brand Promoters dressed in the specified attire?,Q6. Are Brand Promoters actively engaging Consumers at the bar?,Q6a. Are Brand Promoters showing their knowledge of the promotion by clearly explaining winning criteria to the Consumer?,Section 2 Other KPIs,Q7. Are the Guinness drinks (FES /Smooth) served chilled in the outlet when consumers place an order?,"Q8. Kindly provide the selling price of the following brands, where applicable","Q8. Kindly provide the selling price of the following brands, where applicable.1","Q8. Kindly provide the selling price of the following brands, where applicable.2","Q8. Kindly provide the selling price of the following brands, where applicable.3","Q8. Kindly provide the selling price of the following brands, where applicable.4","Q8. Kindly provide the selling price of the following brands, where applicable.5","Q8. Kindly provide the selling price of the following brands, where applicable.6",Q9. Are there other promotions/ activations going on in this outlet?,Q9a.Please provide details of Promotions/Activations.,Any other comments,THANK RESPONDENT AND CLOSE INTERVIEW,GPS Coordinate,Cordinate-Latitude,Cordinate-Longitude,_GPS Coordinate_altitude,_GPS Coordinate_precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index,street_address,place_id
82,2024-05-11 18:09:01.920,2024-05-11 20:35:07.290,OLAEGBE TEMITOPE, ,Lagos,Crystal lounge (103),Commercial Avenue sabo Yaba Lagos,Opposite ozone Cinema sabo Yaba Lagos,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,6PM-7PM,No, , , , , , ,Yes,No,"Poster not properly glued/pined to the wall, board etc.", , ,1,Yes,Yes,Yes,Yes, ,Yes,1000, ,1300,1500,700,1200,800,No, ,"No promo  poster on that outlets
Right address is Commercial Avenue opposite ozone Cinema sabo Yaba Lagos.
Promo material is not ready by the time an their.", ,6.5062777 3.3750866 39.80000305175781 4.2,6.5062777,3.3750866,39.8000030517578,4.2,338135960,a0ed6300-1b1b-4344-b0fa-d05e573fbd72,2024-05-11 21:09:29, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,83,"6 Commercial Ave, Sabo yaba, Lagos 101245, Lagos, Nigeria",ChIJXw5ojl6MOxARSFoAKUCgJDs
81,2024-05-11 16:24:54.426,2024-05-11 20:30:40.799,OLAEGBE TEMITOPE, ,Lagos,Gabjumo consine Garden and event,"5/7 Awonike crescent, Tejusho Yaba Lagos",Near Access bank Tejusho market Yaba Lagos,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,Free bottle,No, , , , , ,Yes,Yes,Yes,Yes, ,Yes,700, , ,1500,700,1000,800,No, ,No poster at the outlet, ,6.5055038 3.3674684 69.1 4.94,6.5055038,3.3674684,69.1,4.94,338135959,4b4bc3a4-210f-4b53-9ea7-8b05e4caf721,2024-05-11 21:09:28, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,82,"11 Awonaike Cres, Yaba, Lagos 101241, Lagos, Nigeria",ChIJt4x140KMOxARfYSCWvFjYE4
25,2024-05-10 18:02:25.935,2024-05-10 18:10:42.748,Susan Igbeh, ,Lagos,New Paradise Bar,62 Yaya crescent Olodi Apapa,Opposite Lifec Nursery and Primary School ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.4493816 3.3362777 28.899999618530273 4.6,6.4493816,3.3362777,28.8999996185303,4.6,337872278,4b8e5f2a-39fd-43c0-ba3f-2882903cd98e,2024-05-10 19:59:54, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,26,"60 Yaya Cres, Apapa, Lagos 102103, Lagos, Nigeria",ChIJuWdp2HyJOxARoNpr6HimrPA
26,2024-05-10 17:47:41.717,2024-05-10 17:51:26.266,Susan Igbeh , ,Lagos,De Signature bar ,64 Idewu Street. Olodi Apapa,After Abbey Medical center ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.4480165 3.3368422 26.899999618530273 4.866,6.4480165,3.3368422,26.8999996185303,4.866,337872280,ff48f128-917d-4317-85c7-627bf4258619,2024-05-10 19:59:55, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,27,"46 Muyibi St, Apapa, Lagos 102103, Lagos, Nigeria",ChIJm43kEX2JOxARc4_WtOzh3BM
47,2024-05-10 19:43:14.054,2024-05-10 19:45:12.957,Sunday Adeboye , ,Lagos,Volume bar,27 marcarthy street ,Onikan,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.4470024 3.4063559 27.100000381469727 4.866,6.4470024,3.4063559,27.1000003814697,4.866,337978912,fdc72f46-9d34-4a4a-9853-c2c88029e8fb,2024-05-11 09:04:45, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,48,"27 Macarthy Street, Lagos Island, Lagos 102273, Lagos, Nigeria",ChIJ9w3aUCSLOxAR-aBwPx2XOB4
48,2024-05-10 20:42:36.638,2024-05-10 20:46:10.006,Sunday Adeboye , ,Lagos,Village square bar/simi,Akanbi damola street ,Chief magistrate court,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.4441877 3.4195068 26.0 3.485,6.4441877,3.4195068,26,3.485,337978913,47d196ef-9a72-408a-a625-d5d6292380ef,2024-05-11 09:04:46, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,49,"15b Akanbi Danmole St, Ikoyi, Lagos 106104, Lagos, Nigeria",ChIJdeAwUyuLOxARQY9f8meK6_Q
24,2024-05-10 18:35:02.642,2024-05-10 18:38:49.483,Susan Igbeh , ,Lagos,Mr Kay hotel ,6 Amosu Lane Olodi Apapa ,After Top Grade Educational Center ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.4420887 3.3343294 27.399999618530273 4.737,6.4420887,3.3343294,27.3999996185303,4.737,337872277,7b6dc156-1d6b-407a-85a2-d1c1b4dd3b89,2024-05-10 19:59:53, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,25,"63 Amosu Ln, Apapa, Lagos 102103, Lagos, Nigeria",ChIJN4vP1X6JOxARUMe69fqi9dI
46,2024-05-10 17:39:53.144,2024-05-10 17:43:03.203,Adeboye Sunday , ,Lagos,Emperor place,"20 balarabe musa cr, vi",KPMJ,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,They are not aware of any FES OR ANY OTHER PROMO , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.437245 3.4370509 27.299999237060547 3.566,6.437245,3.4370509,27.2999992370605,3.566,337978909,122cc9ad-074d-44e8-adf9-75e91c2bb757,2024-05-11 09:04:45, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,47,"900 Balarabe Musa Cres, Victoria Island, Lagos 106104, Lagos, Nigeria",ChIJdQ2rWCD1OxARwZvxsm3BU-o
6,2024-05-10 18:20:22.131,2024-05-10 18:26:18.103,Isi, ,Central,Abuxhi Bar,"82 Lucky Way Benin city (72, Lucky Way Benin city)",Voice of Heaven intercessory Min,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Not aware, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.375655 5.6604497 146.29999999999998 3.9,6.375655,5.6604497,146.3,3.9,337837420,aa56bcb8-5a0c-4605-9fd5-c29b10bb0282,2024-05-10 17:26:32, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,7,"96 Lucky Igbinedion Way, Uselu, Benin City 300104, Edo, Nigeria",ChIJM5b6S7PUQBARKbEe8i4_1VE
69,2024-05-11 19:10:08.906,2024-05-11 19:12:05.159,Isi, ,Central,Farouk Bar,"Shop 29, EDP plaza, Benin Auchi Road",Benin Auchi Road,BA Led Outlets, ,No,Others, , , , , , , , ,1,Not located, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.351528 5.6618931 100.20000457763672 2.86,6.351528,5.6618931,100.200004577637,2.86,338111882,95ac1603-6dd5-472b-8410-4668205cd0dd,2024-05-11 18:12:14, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,70,"2 Benin Auchi Rd, Benin City 300104, Edo, Nigeria",ChIJT1ZjMJTUQBARkF8Vgrnz76I
74,2024-05-11 19:13:36.884,2024-05-11 20:08:00.059,Isi, ,Central,OG Bar,"100 Amufi Road, off Benin Agbor road",Amufi road,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,The promo has ended some.weeks ago ( can't specify when), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.3504882 5.7227505 114.0 4.228,6.3504882,5.7227505,114,4.228,338120726,7047e6b1-2697-4247-b6be-1e158d8a1aa9,2024-05-11 19:08:09, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,75,,
62,2024-05-11 18:32:35.542,2024-05-11 18:35:11.049,Isi, ,Central,Delta Bar,"2 Jemila Road, Ikpoba Hill, Benin city",First gate,BA Led Outlets, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,"Pepper soup, recharge card and free drink",Yes,Yes,Poster is in good condition,1, , ,Yes,Yes,Yes,Yes, ,Yes,1000,1200,1000,1200,700,1000,700,No, ,, ,6.34943 5.65579 93.1 4.4,6.34943,5.65579,93.1,4.4,338105949,bcca77f7-ac1c-4b48-8265-565118a36264,2024-05-11 17:35:20, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,63,,
19,2024-05-10 19:51:16.132,2024-05-10 19:53:41.565,"Isi
", ,Central,Rosrit Hotel,"Amufi Road, off Benin Agbor Road.","Amufi junction
",Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Not aware, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.3416018 5.7184136 105.0 4.24,6.3416018,5.7184136,105,4.24,337860320,4d91ccb7-76ff-4260-b2be-5b325e966063,2024-05-10 18:53:52, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,20,"No. 5 Rosrit Street, Amufi Rd, opposite Jehovah junction bus stop, off Benin_Agbor Road, Quarters, Benin City 300001, Edo, Nigeria",ChIJof7tqiDVQBARybVt4jpsEjE
10,2024-05-10 18:57:44.397,2024-05-10 18:59:44.956,Gabriel Onyekachi, ,East,King S Shop(End Point),Town planning road off water works,First bank,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.3242242 8.1092268 0.8000000000000007 96.0,6.3242242,8.1092268,0.800000000000001,96,337846588,8615891f-25b2-4c22-9203-ab5bde3702f6,2024-05-10 18:00:01, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,11,"1 Ogoja Rd, reformed church, Abakaliki 480106, Ebonyi, Nigeria",ChIJif-UmWqgXBARaCfFIlJwO1o
16,2024-05-10 19:21:37.978,2024-05-10 19:25:58.979,Gabriel Onyekachi , ,East,Igwe Ndubuisi(Igwe Micheal),52 Ogoja Road ,St Theresa church ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.31643 8.1184062 78.4 5.1,6.31643,8.1184062,78.4,5.1,337854058,2fc8e5c2-906b-493f-9d2f-494e135a2bbd,2024-05-10 18:26:11, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,17,"6FRC8489+GCF2, 54 Ogoja Rd, Azuiyi Udene, Abakaliki 480101, Ebonyi, Nigeria",ChIJiXPywTugXBARk6u9jav3Pyo
51,2024-05-10 18:00:40.228,2024-05-10 18:05:13.063,Norah Obunadike, ,Central,Onitsha Sports Club,"3 Egerton road, GRA Onitsha","Opposite State Library, Onitsha ",Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.1594486 6.7812316 50.4 4.852,6.1594486,6.7812316,50.4,4.852,337986965,bdcab37b-fc20-40d5-8f3f-bb0043213afd,2024-05-11 09:36:38, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,52,"5 Enugu Rd, GRA, Onitsha 434106, Anambra, Nigeria",ChIJY-NJ3-SSQxARSvPbohD3iTM
70,2024-05-11 16:47:19.304,2024-05-11 17:07:42.707,Norah Obunadike, ,Central,Mama munachi shop,"14 Ezeiweka street, Awada Obosi",Beside NIPCO filling station,Self-Run, ,No, , , , , , , , , , , ,Others, , , , , , , ,1,Outlet not located. Wrong address, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.1259441 6.8009667 136.89999389648438 5.0,6.1259441,6.8009667,136.899993896484,5,338115247,e3a23c9e-6ee4-4279-8f1b-8aece334e9d2,2024-05-11 18:31:16, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,71,"6a Ezeiweka Rd, Awada Layout, Onitsha 434243, Anambra, Nigeria",ChIJAwnfJ5qTQxARlkl-qjKnDQg
50,2024-05-10 19:52:53.260,2024-05-10 19:55:08.513,Julieth , ,Central,Eze-Ewu Bar,"83/85 Nwaziki Street, Awada Obosi ",Beside Summer international school ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.1203611 6.8056461 134.55731201171875 4.288,6.1203611,6.8056461,134.557312011719,4.288,337986409,0e3bf5f1-ea8a-4326-8d34-0153ba991ebb,2024-05-11 09:34:41, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,51,"82 Ezeiweka Rd, Awada Layout, Obosi 434109, Anambra, Nigeria",ChIJw0-wzZGTQxARDfw8WZgA2HI
52,2024-05-10 19:29:43.052,2024-05-10 19:36:14.890,Norah Obunadike, ,Central,Madam Exclusive bar,"3 Ezira street Awada, Obosi ","Beside Silver Guest Hotel, Awada Obosi",Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.119279 6.8131325 150.0 4.8,6.119279,6.8131325,150,4.8,337986967,f80b2924-946a-4fe6-9aa6-a5cdc5fd013d,2024-05-11 09:36:38, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,53,,
49,2024-05-10 19:04:11.304,2024-05-10 20:46:53.526, , ,Central,Sonia Resorts,96 Eziweka Road Obosi,After Chili's fast food. ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.1189036 6.8101128 114.475830078125 4.288,6.1189036,6.8101128,114.475830078125,4.288,337986404,54f87d19-6ca7-4087-88f5-258cfa3d51ce,2024-05-11 09:34:40, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,50,,
68,2024-05-11 18:53:18.508,2024-05-11 18:54:52.355,Bankole Adewale , ,Central,Urephill Guest house,Esiovo lane ,Unity bank,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.5292208 5.7757917 26.600000381469727 4.3,5.5292208,5.7757917,26.6000003814697,4.3,338108959,6f49f0ef-e3a7-489f-bf5b-3614fd65268e,2024-05-11 17:55:08, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,69,,
23,2024-05-10 20:05:37.796,2024-05-10 20:08:14.345,Bankole Adewale , ,Central,Orange hotel,Dsc express way ,Redeem church ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.4965305 5.7975825 26.5 5.02,5.4965305,5.7975825,26.5,5.02,337863313,49a3b78b-924e-40b7-a49d-7cd861d831a5,2024-05-10 19:08:26, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,24,,
67,2024-05-11 17:49:50.392,2024-05-11 17:50:45.442,Bankole Adewale , ,Central,Romance hotel,Opposite otuama junction ,Otuama junction ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.4796457 5.8105797 27.19999885559082 4.733,5.4796457,5.8105797,27.1999988555908,4.733,338108954,61676147-409b-4354-9b43-a3624f930529,2024-05-11 17:55:07, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,68,,
66,2024-05-11 17:41:15.195,2024-05-11 17:43:14.841,Adewale bankole , ,Central,Queensley Garden,Opp otuama house otuama street ,Otuama house ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.4774826 5.8109478 27.399999618530273 4.9,5.4774826,5.8109478,27.3999996185303,4.9,338108951,7b3b37a6-f943-4d06-90f4-be78608c56ed,2024-05-11 17:55:07, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,67,,
29,2024-05-10 21:05:37.806,2024-05-10 21:17:23.836,Kufre Akpan, ,East,Cafe de Angelo,"2, Nkereuwem street, off 4lanes uyo",Akwa Resort Ltd,Self-Run, ,Yes, , , , , , , , , , , , , , , , , , , , , ,5PM-6PM,Yes,Yes, , , , ,Recharge cards,No, , , , , , , , , , ,Yes,800,1000,1000,1200,700,1000,800,Yes,"Buy 2 and get gift items like pen, jotter, bucket hats etc",Customers are impressed about the promo , ,5.0100303 7.9505173 61.7 4.816,5.0100303,7.9505173,61.7,4.816,337876472,a0f7b386-5424-41a7-a6f2-8781019952be,2024-05-10 20:21:24, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,30,"5 M Line, Ewet Housing Estate, Uyo 520101, Akwa Ibom, Nigeria",ChIJYyWCngf4ZxARh1RXBM0GR7Y
28,2024-05-10 18:53:15.072,2024-05-10 18:56:13.012,Kufre Akpan, ,East,Akmag hotel,"50 Akwa efak street off udo udoma street, uyo",Doctor's Mess,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.0013389 7.9402081 61.3 4.96,5.0013389,7.9402081,61.3,4.96,337876455,972f5a1e-a692-43ee-9cb8-2d1930527220,2024-05-10 20:21:22, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,29,"84 John Udo Akpan St, Uyo 520102, Akwa Ibom, Nigeria",ChIJA5rY8g34ZxARVRhmgod60bw
27,2024-05-10 18:12:31.265,2024-05-10 18:19:43.735,Kufre Akpan, ,East,Happy Feel Bar, Uyeh Estate opp. Timber Market by New ring road ( Ifa Ikot Akpan Mbia Uyo),Timber Market,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.000786 7.9679699 56.8 5.0,5.000786,7.9679699,56.8,5,337876436,0a5c1e53-3dfc-4841-a03d-e3542f36074e,2024-05-10 20:21:17, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,28,"2 Ring Rd 3, Uyo 520102, Akwa Ibom, Nigeria",EhQyIFJpbmcgUmQgMywgTmlnZXJpYSIaEhgKFAoSCUXUbcT292cQESQf0-VJwf0qEAI
83,2024-05-10 16:50:11.378,2024-05-10 16:55:10.758,Paschal kalada, ,East,Hartford hotel ,Along iwofe road by Ada George opposite former pepperoni ,Opposite Barata pharmacy ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo Others,1, , , , , , ,1,Not aware of promo that is going on, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.8287097610824885 6.976860165596008 65.0 0.0,4.82870976108249,6.97686016559601,65, ,338183845,f3c6979e-1b82-4403-af2c-ed8edeed8ef4,2024-05-12 06:55:34, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,84,"6 Ada-George Road, Rumuafrikom, Port Harcourt 500102, Rivers, Nigeria",EjY2IEFkYS1HZW9yZ2UgUm9hZCwgUnVtdWFmcmlrb20sIFBvcnQgSGFyY291cnQsIE5pZ2VyaWEiGhIYChQKEgnFg7A8Rc5pEBGL7m0-IgaJoRAG
84,2024-05-10 17:46:09.233,2024-05-10 17:50:31.734,Paschal kalada , ,East,All weather ,Iwofe road by st. John's junction port Harcourt ,St. John's church iwofe road port Harcourt ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo Others,1, , , , , , ,1,They have no knowledge about a promo for now, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.819841719940714 6.957385651767254 65.0 0.0,4.81984171994071,6.95738565176725,65, ,338183861,60c70bc5-0aec-4712-bd23-3464d8345a67,2024-05-12 06:55:38, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,85,"15 Rumuepirikom/Iwofe Rd, Obio/Akpor 500102, Rivers, Nigeria",ChIJE7l9aanPaRAR9D6SxrjthRQ
85,2024-05-10 18:46:05.718,2024-05-10 18:47:56.741,Paschal kalada, ,East,Vegas brothers ,Iwofe road after market square port Harcourt ,Market square iwofe road ,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo Others,1, , , , , , ,1,They have no knowledge about a promo for now , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.813895884763292 6.950983889400959 65.0 0.0,4.81389588476329,6.95098388940096,65, ,338183874,0dfa08b7-2e28-4648-a5b3-648d94e2169e,2024-05-12 06:55:46, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,86,"125 Epirikom Road, Port Harcourt 500102, Rivers, Nigeria",EikxMjUgRXBpcmlrb20gUm9hZCwgUG9ydCBIYXJjb3VydCwgTmlnZXJpYSIaEhgKFAoSCVc4VqsJz2kQEQvLzimYa5AOEH0
64,2024-05-10 18:29:58.297,2024-05-10 18:31:19.165,Clever Onisojime, ,East,De planet,Woji road,Close to De Boss,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo Others,1, , , , , , ,1,They are not aware of promo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.813178 6.9972501 54.854 2.213,4.813178,6.9972501,54.854,2.213,338106909,68e69950-8bed-4277-b111-f9eb09c3c950,2024-05-11 17:41:44, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,65,"119 Woji Road, GRA PHASE 3, Port Harcourt 500001, Rivers, Nigeria",ChIJBQzJN4bOaRARSs7jfQX-BG8
63,2024-05-10 18:27:12.064,2024-05-10 18:29:30.331,Clever Onisojime, ,East,The Boss,"86 Woji road, port Harcourt ",Close to De planet,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.8131717 6.9972029 51.10000228881836 13.03,4.8131717,6.9972029,51.1000022888184,13.03,338106908,372dfdcf-707e-468f-9297-8b32fa5b2d34,2024-05-11 17:41:43, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,64,"119 Woji Road, GRA PHASE 3, Port Harcourt 500001, Rivers, Nigeria",ChIJBQzJN4bOaRARSs7jfQX-BG8
65,2024-05-10 18:36:36.655,2024-05-10 18:41:21.091,Clever Onisojime, ,East,The 411 Lounge,93 Woji road ,Opposite Beverly hills Resort,Self-Run, ,No, , , , , , , , , , , ,Not Aware of Promo Others,1, , , , , , ,1,They are not aware of Promo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.8118586 7.0011799 33.0 9.444,4.8118586,7.0011799,33,9.444,338106910,3449cecc-598d-433e-9d31-8dab94a083f3,2024-05-11 17:41:44, , ,submitted_via_web,folahann,veo69XEy4jTy669ZhXehWz, ,66,"61 Woji Road, Ogbunabali, Port Harcourt 500101, Rivers, Nigeria",ChIJq6qas4bOaRARnmG4YpA2lTg
